Gene,Tissue,Gen_celltype,Celltype,Subtype,Reference,Notes
Flt3,Liver,Immune,Dendritic,cDC1,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Clec9a,Liver,Immune,Dendritic,cDC1,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Mgl2,Liver,Immune,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Clec10a,Liver,Immune,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Tnip3,Liver,Immune,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Flt1,Liver,Endothelial,Endothelial,Endothelial,,
Pecam1,Liver,Endothelial,Endothelial,Endothelial,,
Mrc1,Liver,Endothelial,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Esam,Liver,Endothelial,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Mecom,Liver,Endothelial,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Msr1,Liver,Endothelial,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Efnb2,Liver,Endothelial,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Dcn,Liver,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1,
Col1a1,Liver,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1,
Pdgfra,Liver,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1,
Col3a1,Liver,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1,
Apoa2,Liver,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ttr,Liver,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Hal,Liver,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Sds,Liver,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Glul,Liver,Hepatocyte,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065,
Axin2,Liver,Hepatocyte,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065,
Cyp1a2,Liver,Hepatocyte,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065,
Gstm3,Liver,Hepatocyte,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065,
Cyp2e1,Liver,Hepatocyte,Hepatocyte,Midlobular_hepatocyte,https://www.nature.com/articles/nature21065,
Ass1,Liver,Hepatocyte,Hepatocyte,Midlobular_hepatocyte,https://www.nature.com/articles/nature21065,
Asl,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
Alb,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
Cyp2f2,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
Arg1,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
Pck1,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
C2,Liver,Hepatocyte,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065,
Klra8,Liver,Immune,Immune,NK_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Folr2,Liver,Immune,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Vsig4,Liver,Immune,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
C1qa,Liver,Immune,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
C1qc,Liver,Immune,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Clec1b,Liver,Immune,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Cd163,Liver,Immune,Kupffer,Kupffer,https://www.panglaodb.se/markers.html?cell_type=%27Kupffer%20cells%27,
Themis,Liver,Immune,Lymphoid,T_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Il7r,Liver,Immune,Lymphoid,T_cell,https://www.panglaodb.se/markers.html?cell_type=%27T%20cells%27,
Cd79a,Liver,Immune,Lymphoid,B_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Pax5,Liver,Immune,Lymphoid,B_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ikzf1,Liver,Immune,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/11870616/,
Ikzf3,Liver,Immune,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/9806640/,
Bcl11a,Liver,Immune,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3526365/,
Gzmc,Liver,Immune,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Klrb1b,Liver,Immune,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ncr1,Liver,Immune,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Dach1,Liver,Mesenchymal,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Igfbp3,Liver,Mesenchymal,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ngfr,Liver,Mesenchymal,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Adgre1,Liver,Immune,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Axl,Liver,Immune,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Cx3cr1,Liver,Immune,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
C5ar1,Liver,Immune,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Chrm3,Liver,Stem cell,Stem cell,Hematopoietic_stem_progenitor,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Prom1,Liver,Stem cell,Stem cell,Hematopoietic_stem_progenitor,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Acsl1,SkeletalMuscle,Adipocyte,Adipocyte,Adipocyte,,
Pparg,SkeletalMuscle,Adipocyte,Adipocyte,Adipocyte,,
Adipoq,SkeletalMuscle,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Pnpla2,SkeletalMuscle,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Flt1,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Pecam1,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41467-020-20063-w,
Cdh5,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Kdr,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Tie1,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Tek,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Eng,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Emcn,SkeletalMuscle,Endothelial,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Ptprb,SkeletalMuscle,Endothelial,Endothelial,Endothelial,,
Mkx,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.nature.com/articles/s41467-020-20063-w,
Col22a1,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.nature.com/articles/s41467-020-20063-w,
Scx,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7406294/,
Tnmd,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4689213/,
Egr1,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4689213/,
Col1a1,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4689213/,
Col1a1,SkeletalMuscle,Fibroblast,Fibroblast,Tenocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4689213/,
Ptprc,SkeletalMuscle,Immune,Lymphoid,Lymphoid,https://www.nature.com/articles/s41467-020-20063-w,
Ms4a1,SkeletalMuscle,Immune,Lymphoid,B_cell,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf,
Ikzf1,SkeletalMuscle,Immune,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/11870616/,
Ikzf3,SkeletalMuscle,Immune,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/9806640/,
Bcl11a,SkeletalMuscle,Immune,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3526365/,
Themis,SkeletalMuscle,Immune,Lymphoid,T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2848698/,
Il7r,SkeletalMuscle,Immune,Lymphoid,T_cell,https://www.panglaodb.se/markers.html?cell_type=%27T%20cells%27,
Mrc1,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Adgre1,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Itgam,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Fcgr1,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Ccr2,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
Cx3cr1,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/,
F13a1,SkeletalMuscle,Immune,Macrophage,Macrophage,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.117.312509,
Pdgfra,SkeletalMuscle,Mesenchymal,Mesenchymal,FAP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9527288/,
Ly6a,SkeletalMuscle,Mesenchymal,Mesenchymal,FAP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9527288/,
Ly6e,SkeletalMuscle,Mesenchymal,Mesenchymal,FAP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9527288/,
Cd34,SkeletalMuscle,Mesenchymal,Mesenchymal,FAP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9527288/,
Dcn,SkeletalMuscle,Mesenchymal,Mesenchymal,FAP,https://www.nature.com/articles/s41467-020-20063-w,
Mybpc1,SkeletalMuscle,Myonuclei,Myonuclei,Myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Mybpc2,SkeletalMuscle,Myonuclei,Myonuclei,Myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Tnnt3,SkeletalMuscle,Myonuclei,Myonuclei,Myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Ttn,SkeletalMuscle,Myonuclei,Myonuclei,Myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Ckm,SkeletalMuscle,Myonuclei,Myonuclei,Myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Myh1,SkeletalMuscle,Myonuclei,Myonuclei,Type2X_myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Tbc1d1,SkeletalMuscle,Myonuclei,Myonuclei,Type2X_myonuclei,https://www.nature.com/articles/s41467-020-18789-8,
Myh2,SkeletalMuscle,Myonuclei,Myonuclei,Type2A_myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Myh4,SkeletalMuscle,Myonuclei,Myonuclei,Type2B_myonuclei,https://www.nature.com/articles/s41467-020-20063-w,
Pvalb,SkeletalMuscle,Myonuclei,Myonuclei,Type2B_myonuclei,https://www.nature.com/articles/s41467-020-18789-8,
Mybpc2,SkeletalMuscle,Myonuclei,Myonuclei,Type2B_myonuclei,https://www.nature.com/articles/s41467-020-18789-8,
Actn3,SkeletalMuscle,Myonuclei,Myonuclei,Type2B_myonuclei,https://www.nature.com/articles/s41467-020-18789-8,
Pde4d,SkeletalMuscle,Myonuclei,Myonuclei,Type2B_myonuclei,https://www.nature.com/articles/s41467-020-18789-8,
Myh7,SkeletalMuscle,Myonuclei,Myonuclei,Type1,https://www.nature.com/articles/s41467-020-18789-8,
Atp2a2,SkeletalMuscle,Myonuclei,Myonuclei,Type1,https://www.nature.com/articles/s41467-020-18789-8,
Etv5,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://pubmed.ncbi.nlm.nih.gov/17785180/,
Etv4,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-18789-8,
Chrne,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-20063-w,
Colq,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-18789-8,
Ncam1,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-18789-8,
Musk,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-20063-w,
Lrp4,SkeletalMuscle,Myonuclei,Myonuclei,NMJ,https://www.nature.com/articles/s41467-020-20063-w,
Col22a1,SkeletalMuscle,Myonuclei,Myonuclei,MTJ,https://www.nature.com/articles/s41467-020-20063-w,
Maml2,SkeletalMuscle,Myonuclei,Myonuclei,MTJ,https://www.nature.com/articles/s41467-020-18789-8,
Lama2,SkeletalMuscle,Myonuclei,Myonuclei,MTJ,https://www.nature.com/articles/s41467-020-18789-8/,
Pdzd2,SkeletalMuscle,Myonuclei,Myonuclei,MTJ,https://www.nature.com/articles/s41467-020-18789-8/,
Pax7,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,https://www.nature.com/articles/s41467-020-20063-w,
Myod1,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,,
Lmna,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215708/#:~:text=Muscle%20stem%20cell%20markers,)%20and%20emerin%20(EMD).",
Emd,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215708/#:~:text=Muscle%20stem%20cell%20markers,)%20and%20emerin%20(EMD).",
Myf5,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4073943/,
Cd34,SkeletalMuscle,Myonuclei,Myonuclei,Satellite,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4073943/,
Gfap,SkeletalMuscle,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Oct6,SkeletalMuscle,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Krox20,SkeletalMuscle,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Myh11,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.nature.com/articles/s41467-020-20063-w,
Acta2,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf,
Tagln,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.frontiersin.org/articles/10.3389/fimmu.2020.599415/full,
Cnn2,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.frontiersin.org/articles/10.3389/fimmu.2020.599415/full,
Mylk,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.panglaodb.se/markers.html?cell_type=%27Smooth%20muscle%20cells%27,
Eln,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.sciencedirect.com/science/article/pii/S2211124719308721,
Myl6,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,,
Myl9,SkeletalMuscle,Smooth_muscle,Smooth_muscle,Smooth_muscle,https://www.panglaodb.se/markers.html?cell_type=%27Smooth%20muscle%20cells%27,
